Symbol,Description
DUKW.SI,Kepcorp 5xshortsg241218
DUMW.SI,Kepcorp 5xlongsg250410
DUNW.SI,Jd 5xlongsg240416
DUPW.SI,Sands 5xlongsg250626
DURW.SI,Sunny 5xlongsg241126
DUTW.SI,Xiaomi 5xlongsg241126
DUWW.SI,Tencent 5xlongsg250904
DUXW.SI,Aia 5xshortsg240125
DUYW.SI,Xpeng 5xlongsg250306
DVAW.SI,Clife 5xlongsg240215
DVBW.SI,Lining 5xshortsg231019
DVFW.SI,Genting 5xshortsg241218
DVHW.SI,Bydelec 5xlongsg231220
DVIW.SI,Alibaba 5xlongsg231214
DVKW.SI,Petroch 5xlongsg250410
DVLW.SI,Tencent 5xlongsg240416
DVMW.SI,Baidu 5xshortsg240709
DVNW.SI,Sembcorp 5xshortsg250709
DVRW.SI,Alibaba 5xshortsg231220
DVSW.SI,Venture 5xlongsg260904
DVZW.SI,Singtel 5xshortsg241218
DWCW.SI,Ccb 5xlongsg240807
DWEW.SI,Clife 5xshortsg240215
DWFW.SI,Citydev 5xshortsg241218
DWGW.SI,Aia 5xlongsg241213
DWIW.SI,Sembcorp 5xlongsg250410
DWMW.SI,Kuaisho 5xlongsg240709
DWOW.SI,Byd 5xshortsg241209
DXGW.SI,Anta 5xshortsg231019
DXIW.SI,Citydev 5xshortsg231214
DXJW.SI,Jd Mb Ecw231204
DXOW.SI,Capinv 5xshortsg241218
DXQW.SI,Alibaba 5xshortsg240411
DXRW.SI,Lining 5xlongsg241209
DXVW.SI,Sunny 5xshortsg241209
DXZW.SI,Dlc Sg5xlong Alihealth
DYEW.SI,Citydev 5xlongsg241218
DYFW.SI,Ganfeng 5xlongsg240411
DYGW.SI,Meituan 5xshortsg240411
DYHW.SI,Sembcorp 5xlongsg250709
DYIW.SI,Ganfeng 5xshortsg240709
DYLW.SI,Wuxibio 5xshortsg240709
DYNW.SI,Kuaisho 5xshortsg250306
DYXW.SI,Tencent 5xshortsg231123
DYYW.SI,Hkex 5xlongsg240125
DZDW.SI,Anta 5xlongsg231019
DZMW.SI,Alibaba 5xshortsg231110
DZNW.SI,Meituan 5xshortsg231110
DZOW.SI,Meituan 5xlongsg231110
DZSW.SI,Petroch 5xshortsg250410
DZTW.SI,Sia 5xlongsg250709
DZUW.SI,Geely 5xshortsg241209
DZVW.SI,Sunny 5xlongsg250904
DZYW.SI,Ccb 5xshortsg231214
DZZW.SI,Kuaisho 5xshortsg231123
E27.SI,Eucon Holding Limited
E28.SI,Frencken Group Limited
E3B.SI,Wee Hur Holdings Ltd.
E5H.SI,Golden Agri-resources Ltd
E6R.SI,Samko Timber Limited
E9L.SI,Joyas International Hldgs Ltd
EAPS.SI,Nx22100w 320801
EB5.SI,First Resources Limited
EB7.SI,Ktl Global Limited
EBEW.SI,Hscei 7xlongub250430
ECAW.SI,Meituan 5xlongub251031
EEHW.SI,Hsi 22200mbecw240130
EG0.SI,Jes International Holdings Ltd
EH5.SI,United Overseas Australia Ltd
EHG.SI,Econ Healthcare
EHUW.SI,Jd 5xlongub250228
EHZB.SI,Fptrea 4.49%270916xb#
EITW.SI,Hsi 18200mbecw231129
ELQW.SI,Dbs Mb Epw240124
ELTW.SI,Thaibev 5xshortsg231115
EMI.SI,Emperador Inc.
ENV.SI,Ls 2 Holdings
EPVW.SI,Byd 5xlongub250930
ER0.SI,Ksh Holdings Limited
ES3.SI,Sti Etf
ESG.SI,Lgi-ospl Slc Etf S$
ESU.SI,Lgi-ospl Slc Etf Us$
EVD.SI,Nikkoam-stc Cn Ev Us$
EVMW.SI,Nasdaq 5xlongub250922
EVS.SI,Nikkoam-stc Cn Ev S$
EXFW.SI,Uob Mb Ecw240724
EXWW.SI,Tencentmbecw240103
EYFW.SI,Hstech 4800mbecw240627
F03.SI,Food Empire Holdings Limited
F10.SI,F J Benjamin Holdings Ltd
F13.SI,Fu Yu Corporation Ltd
F17.SI,Guocoland Limited
F1E.SI,Low Keng Huat (singapore) Ltd
F34.SI,Wilmar International Limited
F83.SI,Cosco Corporation (s) Ltd
F86.SI,Cougar Logistics Corpn Ltd
F99.SI,Fraser And Neave Limited
F9D.SI,Boustead Singapore Limited
FBXW.SI,Meituan 5xshortub250430
FDDW.SI,Hkex Mb Epw240103
FDWW.SI,Hkex 5xlongub250228
FFAW.SI,Byd Mb Ecw240103
FGIW.SI,Hsbc 5xlongub250127
FIMW.SI,Kuaisho 5xlongub251031
FOFW.SI,Byd 5xlongub250321
FPKW.SI,Dbs Mb Epw240708
FQ7.SI,Jasper Investments Limited
FRLW.SI,Alibaba 5xshortub250127
FRQ.SI,Sing Paincare
FTMW.SI,Hstech 4400mbecw240228
FWQW.SI,Meituan 5xshortub251031
FZCW.SI,Ocbc Bk Mb Epw231110
G07.SI,Great Eastern Hldgs Ltd
G0I.SI,Nam Lee Pressed Metal Inds Ltd
G13.SI,Genting Singapore Plc
G19W.SI,Hsi 18600mbecw231030
G1N.SI,Lyxor Etf Msci India 10
G20.SI,Gp Industries Limited
G3B.SI,Dbs Singapore Sti Etf
G50.SI,Grand Banks Yachts Limited
G92.SI,China Aviation Oil(s) Corp Ltd
GDVW.SI,Wilmar Mb Ecw240401
GEIW.SI,Ocbc Bk Mb Ecw231117
GHCW.SI,Netease 5xshortub250321
GIH.SI,Lhn Logistics
GMFW.SI,Simsci 290mbecw231229
GPSW.SI,Dbs 5xshortub250530
GQYW.SI,Singtelmbecw240201
GRE.SI,Uob Ap Grn Reit Us$
GRN.SI,Uob Ap Grn Reit S$
GRQ.SI,Don Agro
GSD.SI,Gld Sg$
GSPW.SI,Alibaba Mb Epw240503
GU5.SI,China Kunda Tech Holdings Ltd
GUDW.SI,Jd Mb Ecw241203
GUVW.SI,Xiaomi 5xshortub250321
GVMW.SI,Hsi 18800mbecw231228
H02.SI,Haw Par Corp Ltd
H07.SI,Stamford Land Corporation Ltd
H12.SI,Hotel Royal Ltd
H13.SI,Ho Bee Investment Limited
H15.SI,Hotel Properties Ltd
H18.SI,Hotel Grand Central Ltd
H1N.SI,Lyxor Etf Msci Emerging Mkt 10
H20.SI,Hoe Leong Corporation Ltd.
H22.SI,Hong Leong Asia Ltd.
H30.SI,Hong Fok Corporation Ltd
H78.SI,Hongkong Land Holdings Limited
HAOW.SI,Hsi 5xshortub251031
HBWW.SI,Sunny 5xlongub250127
HBYW.SI,Netease 5xlongub250228
HCLW.SI,Hscei3xlongma260327us$
HD9.SI,Dbxt Ftse Vietnam Etf 10
HDTW.SI,Galaxy 5xshortub250430
HFQW.SI,Xiaomi Mbecw241203
HGOW.SI,Hsi 19000mbecw240130
HHHW.SI,Hsi3xlongma260327us$
HIEW.SI,Sunny 5xlongub250930
HKB.SI,Amtd Ib Ov
HKCW.SI,Sands 5xlongub250930
HLKW.SI,Sia 5xlongub250530
HMN.SI,Ascott Trust
HNVW.SI,Byd3xshortub250428us$
HOHW.SI,Hsi 7xshortub241231
HQLW.SI,Meituan 5xshortub250127
HQU.SI,Oiltek
HQWW.SI,Tencentmbecw240503
HSKW.SI,Comfortdel Mbecw240202
HSS.SI,Lion-ocbc Sec Hstech Us$
HST.SI,Lion-ocbc Sec Hstech S$
HTQW.SI,Tencentmbepw231204
HUTW.SI,Geely 5xlongub250630
HYGW.SI,Geely Mb Epw240503
HZPW.SI,Kepcorpmbecw231215
i06.SI,Intraco Limited
i07.SI,Isdn Holdings Limited
i11.SI,Ipco Int'l Limited
i15.SI,Isetan (singapore) Ltd
i49.SI,Ifs Capital Limited
I98.SI,Is Msci India 100
ICM.SI,Ishares Axjclimate S$
ICU.SI,Ishares Axjclimate Us$
IDBW.SI,Nky 33000mbecw240308
IFAW.SI,Jd 5xlongub250930
IFDW.SI,Hsi 7xlongub250228
IHHW.SI,Hsi3xshortma260327us$
IHSW.SI,Hscei3xshortma260327us$
IOKW.SI,Geely 5xshortub250430
IQQW.SI,Nasdaq3xshortma260327us$
ISFW.SI,Clife 5xshortub250430
ISPW.SI,S&p3xshortma260327us$
ISTW.SI,Hstech3xshortma260327us$
ITQW.SI,Xiaomi 5xshortub250228
ITRW.SI,Hkex 5xlongub250127
IVWW.SI,Hsi 16600mbepw231129
IW5.SI,Seroja Investments Limited
IX2.SI,Pec Ltd.
IYBW.SI,Geely Mb Ecw240503
IZGW.SI,Pacific Radiancew270919
J03.SI,Jadason Enterprises Ltd
J17.SI,Jackspeed Corporation Limited
J2T.SI,Hock Lian Seng Holdings Ltd
J36.SI,Jardine Matheson Hldgs Ltd
J69U.SI,Frasers Centrepoint Trust
J85.SI,Cdl Hospitality Trusts
J91U.SI,Cambridge Industrial Trust
JAFW.SI,Meituan Mb Ecw240103
JDLW.SI,Hsi 20200mbecw240228
JFSW.SI,Ocbc Bk Mb Epw240124
JGQW.SI,Meituan Mb Ecw241203
JHXW.SI,Hsi 5xlongub251031
JK8.SI,United Sse 50 China Etf
JLB.SI,Grand Venture Technology Ltd
JMFW.SI,Geely 5xlongub250228
JRTW.SI,Ccb 5xlongub250430
JUIW.SI,Citydev Mbecw240202
JYEU.SI,Lendlease Reit
JYOW.SI,Hsi 16400mbepw240130
JZLW.SI,Meituan Mb Epw231204
K03.SI,Khong Guan Flour Milling Ltd
K29.SI,Karin Technology Hldgs Limited
K3MD.SI,Netease.com Adr 10
K3RD.SI,Ctrip.com International Adr 10
K3SD.SI,Baidu.com Adr 10
K6S.SI,Prudential Plc
K71U.SI,K-reit Asia
K75.SI,Koh Brothers Group Limited
KCFW.SI,Hsi 22200mbecw231030
KGDW.SI,Wuxibio 5xlongub250930
KGHW.SI,Uob Mb Ecw231117
KGRW.SI,Kuaisho 5xshortub250228
KHWW.SI,Alibab3xlongub250428us$
KJ5.SI,Bbr Holdings (s) Ltd
KJ7.SI,Dbxt Msci Indonesia Etf 10
KJZW.SI,Vikingw270628
KNXW.SI,Hsi 7xlongub241231
KOPW.SI,Wilmar Mb Ecw231215
KUH.SI,Tsh Corporation Ltd
KUO.SI,International Cement Groupltd.
KUX.SI,Dlf Holdings Limited
KV4.SI,Dbxt Iboxx Singapore Etf 5
L02.SI,Manhattan Resources Limited
L09.SI,Lung Kee (bermuda) Hldgs Ltd
L19.SI,Lum Chang Holdings Limited
L23.SI,Enviro-hub Holdings Ltd
L38.SI,L.c.development Ltd
L5I.SI,Abterra Ltd
LAXW.SI,Nio Mbecw240221
LBPW.SI,Byd 5xshortub250430
LCS.SI,Csop Low Carbon S$
LCU.SI,Csop Low Carbon Us$
LG9.SI,Dbxt Msci China Trn Etf 10
LIW.SI,Eagle Hospitality Trust
LJ3.SI,Overseas Union Enterprise Ltd
LMBW.SI,Nasdaq 16000mbecw231215
LMKW.SI,Hsi 7xshortub251031
LMS.SI,Lms Compliance
LQRW.SI,Meituan 5xlongub241231
LRBW.SI,Nio Mbecw240523
LS9.SI,Leader Environmental Tech Ltd
LSHS.SI,N519100a 240201
LSS.SI,Phil Long Simsci2x S$
LSU.SI,Phil Long Simsci2x Us$
LUY.SI,Raffles Infrastructurehldgsltd
LVEW.SI,Hsi 17200mbepw231228
LXDW.SI,Kuaisho 5xlongub250228
LYY.SI,Sinocloud Grp
M01.SI,Metro Holdings Limited
M03.SI,Miyoshi Precision Limited
M04.SI,Mandarin Oriental Intl Ltd
M05.SI,Mtq Corporation Limited
M11.SI,Mfg Integration Technology Ltd
M14.SI,Innotek Limited
M15.SI,Matex International Limited
M1GU.SI,Sabana Shari'ah Compliant Reit
M1Z.SI,Tee International Limited
M44U.SI,Mapletree Logistics Trust
M62.SI,Cimb Ftse Asean40 100
MBH.SI,Nikkoam Sgd Ig Corp Bond Etf
MCZW.SI,Sands 5xshortub250127
ME8U.SI,Mapletree Industrial Trust
MEWW.SI,Hsi 15800mbepw231129
MF6.SI,Mun Siong Engineering Limited
MGCW.SI,Jd Mb Epw241203
MIJ.SI,Alliance Healthcare Group Ltd
MJHW.SI,Cmob 5xlongub250228
MMS.SI,Phillip Mm S$
MMT.SI,Phillip Mm Us$d
MOFB.SI,Nc22300w 720801
MPQW.SI,Kepcorpmbecw240202
MQJW.SI,Uob Mb Epw231102
MQVW.SI,Comfort 5xlongsg231115
MR7.SI,Nordic Group Limited
MRYW.SI,Kepcorpmbepw231215
MT1.SI,Dragon Group Intl Limited
MV4.SI,Mewah International Inc.
MVKW.SI,Galaxy 5xshortub250127
MVLW.SI,Tencen3xlongub250428us$
MXNU.SI,Elitecomreit Gbp
MYLB.SI,Addvalue 6%271104xb#
MZH.SI,Nanofilm
N01.SI,Neratelecommunications Ltd
N02.SI,Nsl Ltd.
N08.SI,New Toyo Int Hldgs Ltd
N0Z.SI,Combine Will Intl Hldgs Ltd
N2H.SI,Hyflux 6% Cum Pref Class A 10
N2IU.SI,Mapletree Commercial Trust
N32.SI,Nippecraft Limited
N33.SI,Nomura Holdings Inc
N4E.SI,Nam Cheong Limited
N5YD.SI,Mufj Financial Adr 10
N6DD.SI,Mizuho Financial Adr 10
N6FD.SI,Toyota Motor Adr 10
N6M.SI,Ishares Usd Asia Bond Etf
NC2.SI,Sri Trang Agro-industry Pcl
NCWW.SI,Wuxibio 5xlongub250430
NCXW.SI,Lifebrandz W240621
NCYW.SI,Jd Mb Epw240403
NDYW.SI,Hstech 4200mbepw231228
NEAW.SI,Geely 5xshortub250127
NEX.SI,Reclaims Global Limited
NFCW.SI,Dbs Mb Ecw240328
NGAW.SI,Hsi 20200mbecw231030
NGIW.SI,Nky 27500mbepw231208
NHD.SI,Jubilee
NIGW.SI,Hsi 19800mbecw231129
NIO.SI,Nio Inc. Usd Ov
NJXW.SI,Xiaomi Mbecw231204
NLC.SI,5e Resources
NLPW.SI,Pingan 5xshortub250127
NMCW.SI,Meituan 5xlongub250228
NO4.SI,Dyna-mac Holdings Ltd.
NOMW.SI,Yangzijimbecw240626
NOYW.SI,Hstech 5000mbecw240130
NPL.SI,Niks Prof
NPNW.SI,Nasdaq 5xshortub250922
NPW.SI,Malaysia Smelting Corp Bhd
NQEW.SI,Alibaba 5xlongub250630
NR7.SI,Raffles Education Corp Ltd
NS8U.SI,Hutchison Port Holdings Trust
NTA.SI,Novo Tellus Spac
NTSW.SI,Novo Tellus Spac W291231
NUIW.SI,Byd 5xlongub250430
NVLW.SI,Tencentmbecw241203
NVYW.SI,Sia Mb Ecw231215
NWDW.SI,Jd 5xshortub250127
NXEW.SI,Capinv 5xlongsg231115
NXR.SI,Iwow Tech
O08.SI,Ossia International Ltd
O10.SI,Orchard Parade Holdings Ltd
O39.SI,Oversea-chinese Banking Corp
O5RU.SI,Aims Amp Cap Industrial Reit
O6Z.SI,Lonza Group Ltd
O87.SI,Spdr Gold Shares
O9A.SI,Dbxt Msci Singapore Im Etf 10
O9E.SI,Parkson Retail Asia Limited
O9P.SI,Ishares Usd Asia Hy Bond Etf
OAJ.SI,Fortress Minerals Limited
OCRW.SI,Dbs Mb Epw231017
ODBU.SI,Utdhampshreitusd
OEWW.SI,Sembind Mbecw240401
OFBW.SI,Lining 5xshortub250430
OGNW.SI,Wilmar Mb Ecw240626
OJQW.SI,Nasdaq 11000mbepw231215
OL9S.SI,Nz10100f 300901
OMK.SI,Vividthree Holdings Ltd.
OMYW.SI,Anta 5xshortub250430
ONLW.SI,Singtelmbecw240626
OOPW.SI,Hstech 5xshortub250430
OOSW.SI,Tencent 5xlongub250228
OPUW.SI,Hsi 17000mbepw231030
OTS.SI,Ots Holdings
OTX.SI,Medinex Limited
OU8.SI,Centurion Corporation Limited
OV8.SI,Sheng Siong Group Ltd
OVQ.SI,Phillip Sing Income Etf
OVRW.SI,Hsi 21000mbecw231030
OVVW.SI,Jd 5xshortub250430
OXIW.SI,Hsi 18000mbepw231030
OXMU.SI,Prime Us Reitusd
OYY.SI,Propnex Limited
P11.SI,Pacific Andes Resources Devltd
P15.SI,Pacific Century Regional Devts
P34.SI,Petra Foods Limited
P36.SI,Pan Hong Property Group Ltd
P40U.SI,Starhill Global Reit
P52.SI,Pan-united Corporation Ltd
P5P.SI,Cimb S&p Asia Pacific Dividend
P74.SI,China Kangda Food Company Ltd
P7VU.SI,Hutchison Port Hldgs Trust S$
P8A.SI,Cordlife Group Limited
P8Z.SI,Bumitama Agri Ltd.
P9D.SI,Civmec Limited
PA3.SI,Ta Corporation Ltd
PAIW.SI,Uob Mb Epw240328
PBSW.SI,Vibropower W250116^
PCYW.SI,Hkex Mb Ecw240603
PGEW.SI,Pegasus Spac W291231
PGS.SI,Pegasus Spac
PH0.SI,Hatten Land
PH1S.SI,Na12100n 420202
PHHW.SI,Alibaba 5xlongub250930
PISW.SI,Cosco 5xshortub250430
PMGW.SI,Uob 5xlongub250530
POTW.SI,Hsi 21400mbecw240130
PQKW.SI,Wilmar Mb Ecw240201 3.9
PRH.SI,Citicode Ltd
PU6D.SI,Hsbc Adr 10
PUGW.SI,Hsi 17400mbepw231129
PXRW.SI,Sands Mb Ecw240802
PYLW.SI,Jd Mb Ecw240603
PZWW.SI,Meituan Mb Ecw240503
Q01.SI,Qaf Ltd
Q0F.SI,Ihh Healthcare Berhad
Q0X.SI,Ultro Technologies Limited
Q5T.SI,Far East Hospitality Trust
QAHW.SI,Thaibev 5xlongsg231115
QAIW.SI,Cmob 5xshortub250228
QC7.SI,Q & M Dental Group (s) Limited
QDAW.SI,Sembind Mbecw231207
QDSW.SI,Sats 5xshortub250630
QES.SI,Chinasunsine
QFHW.SI,Sembcorp 5xlongub250530
QFYW.SI,Byd 5xlongub241231
QGGW.SI,Hsi 7xshortub250228
QJDW.SI,Wuxibio 5xshortub250321
QK9.SI,Is Msci India 100 S$
QL2.SI,Ishares Usd Asia Bond Etf S$
QL3.SI,Ishares Usd Asia Hy Bond Etfs$
QNHW.SI,First Sponsor W240530
QNLW.SI,Ocbc Bk Mb Ecw231124
QNS.SI,Southernalliance
QPCW.SI,Aia 5xlongub250430
QQQW.SI,Nasdaq3xlongma260327us$
QR9.SI,Cimb S&p Asia Pac Dividend S$
QS0.SI,Cimb Ft Asean 40 100 S$
QS9.SI,Radiance Group Limited
QSD.SI,Resources Gbl
QTTW.SI,Anta 5xlongub250430
QXPW.SI,Hsi 5xshortub250430
QZG.SI,Accrelist Ltd
R14.SI,Ramba Energy Limited
R1NS.SI,Nz13100v 330901
R28W.SI,Byd Mb Ecw241203
RAYW.SI,First Sponsor W290321
RC5.SI,Triyards Holdings Limited
RCTW.SI,Djia 37000mbecw231215
RCU.SI,Revez
RDR.SI,Incredible
RE4.SI,Geo Energy Resources Limited
RECW.SI,Hsi 19600mbecw231228
REVW.SI,Capinv 5xshortsg231115
RF1U.SI,Religare Health Trust
RFVW.SI,Venture 5xlongub250530
RGMW.SI,Sunny 5xshortub250127
RHBW.SI,Byd3xlongub250428us$
RIVW.SI,Dbs Mb Ecw231017
RJRW.SI,Hstech 7xlongub240830
RLWW.SI,Yangzijimbecw231215
RMFW.SI,Sia Mb Ecw240401
RMLW.SI,Jd Mb Ecw240503
RNXW.SI,Sunny 5xlongub250430
RQ1.SI,Overseas Education Limited
RRQW.SI,Byd 5xshortub251031
RS1.SI,China Environmental Res Gp Ltd
RXS.SI,Pacificradiance
RXUW.SI,Nky 28000mbepw240308
RYQW.SI,Lenovo 5xlongub250430
S07.SI,Shangri-la Asia Limited
S08.SI,Singapore Post Limited
S19.SI,Singapore Shipping Corp Ltd
S20.SI,Straits Trading Co. Ltd
S23.SI,Singapura Finance Ltd
S27.SI,Spdr S&p 500 Etf Trust
S29.SI,Stamford Tyres Corporationltd
S2D.SI,Tosei Corporation
S35.SI,Sing Investments & Finance Ltd
S3N.SI,Okh Global Ltd.
S41.SI,Hong Leong Finance Limited
S44.SI,Engro Corporation Limited
S45U.SI,Singapore Index Fund
S51.SI,Sembcorp Marine Ltd
S56.SI,Samudera Shipping Line Ltd
S58.SI,Sats Ltd.
S59.SI,Sia Engineering Co Ltd
S61.SI,Sbs Transit Ltd
S63.SI,Singapore Tech Engineering Ltd
S68.SI,Singapore Exchange Limited
S69.SI,Serial System Ltd
S71.SI,Sunright Ltd
S7OU.SI,Asian Pay Television Trust
S7P.SI,Soilbuild Construction Grp Ltd
S85.SI,Straco Corporation Limited
S9B.SI,Tee Land Limited
SCY.SI,Csop Star&chinext50 S$
SEJ.SI,Noontalk Media
SES.SI,Cph Ltd.
SGEW.SI,Dbs Mb Ecw240724
SGR.SI,Sheffield Green
SGSW.SI,S&p 4500mbecw231215
SHWW.SI,Hstech 5xlongub250430
SJY.SI,Megroup Ltd.
SK3.SI,Krisenergy Ltd.
SK6U.SI,Sph Reit
SMIW.SI,Wuxibio 5xshortub250430
SNEW.SI,Cnooc 5xlongub250228
SNSW.SI,Cmb 5xlongub251031
SNVW.SI,Dbs 5xlongub250530
SO7.SI,Yangzijiang Shipbldg Hldgs Rmb
SPXW.SI,S&p 7xlongsg260226
SQ1B.SI,Sia S$750m 3.03% B 240328
SQQ.SI,Csop Sea Tech Etf S$
SQU.SI,Csop Sea Tech Etf Us$
SRT.SI,Csop Iedge Sreit Etf S$
SRU.SI,Csop Iedge Sreit Etf Us$
SSKW.SI,Tencent 5xlongub250930
SSS.SI,Phil Short Simsci-1x S$
SSU.SI,Phil Short Simsci-1x Us$
STC.SI,Comba
STG.SI,Sri Trang Gloves
SWMW.SI,Uob Mb Epw231120
SYBW.SI,Galaxy 5xlongub250430
SYYW.SI,Soilbuild Constw240729
T09.SI,Tt International Limited
T12.SI,Tat Seng Packaging Group Ltd
T13.SI,Rh Petrogas Limited
T14.SI,Tianjin Zhong Xin Pharm Group
T15.SI,Tan Chong Int'l Ltd
T24.SI,Tuan Sing Holdings Limited
T41.SI,Telechoice International Ltd
T43.SI,Techcomp (holdings) Limited
T4B.SI,Sino Grandness Food Ind Gp Ltd
T55.SI,Transpac Industrial Hldgs Ltd
T6I.SI,Valuemax Group Limited
T82U.SI,Suntec Real Estate Inv Trust
T8FS.SI,Ny14100e 290701
TATD.SI,Aot Th Sdr
TBEW.SI,Ocbc Bk Mb Ecw240701
TCCW.SI,Hsi 5xlongub250430
TCHW.SI,Sunny 5xlongub250321
TCPD.SI,Cp All Th Sdr
TCU.SI,Creditbureauasia
TEKB.SI,Temasek S$500m 2.7% B 231025
TEMB.SI,Temasek 1.8% 261124xb#
TGMW.SI,Hstech 3000mbepw240627
THLW.SI,Comfort 5xshortsg231115
TID.SI,Xt Mschina S$
TIRW.SI,Nky 24000mbepw231208
TJNW.SI,Hsi 15400mbepw231228
TPED.SI,Pttep Th Sdr
TQ5.SI,Frasers Centrepoint Limited
TQQW.SI,Nasdaq 7xlongsg260226
TQTW.SI,Uob Mb Epw240708
TS0U.SI,Oue Commercial Reit
TSGW.SI,Tencent 5xlongub241231
TSH.SI,Tsh Resources
TTTW.SI,Hstech3xlongma260327us$
TVBW.SI,Meituan 5xlongub250630
TVV.SI,Artivision
TWJW.SI,S&p 4000mbepw240315
TWL.SI,Memiontec Hldgs
TYTW.SI,Tencent 5xshortub241231
U06.SI,United Industrial Corp Ltd
U09.SI,Upp Holdings Limited
U10.SI,Uob-kay Hian Holdings Limited
U11.SI,United Overseas Bank Ltd
U13.SI,United Overseas Insurance Ltd
U14.SI,Uol Group Limited
U77.SI,Sarin Technologies Ltd
U96.SI,Sembcorp Industries Ltd
U9E.SI,Hankore Environment Tec Grpltd
UBAW.SI,Hstech 4100mbecw231228
UBCW.SI,Comfortdel Mbecw231215
UCHW.SI,Citydev Mbecw240401
UD1U.SI,Ireit Global
UD2.SI,Japfa Ltd.
UFSW.SI,Netease 5xshortub250228
UGNW.SI,Clife 5xshortub250321
UIZW.SI,Uob Mb Ecw240328
ULDW.SI,Hstech 6000mbecw240627
UNBW.SI,Hsi 18000mbecw231228
UORW.SI,Meituan 5xshortub250228
UPRW.SI,Hkex 5xshortub250228
URR.SI,Sim Leisure Group Ltd.
UUIW.SI,Sia Mb Ecw240202 6.9
UUK.SI,Pasture Holdings
UV1.SI,Hisaka Holdings Ltd.
V03.SI,Venture Corporation Limited
V2Y.SI,Synagie Corporation Ltd.
V3M.SI,Metech International Ltd
V6QW.SI,Sia 5xshortub250530
V7AB.SI,Astrea7a1 4.125%320527#
V7BB.SI,Astrea7b 6%320527#
V8Y.SI,Quantum Health
V9TW.SI,Hsi 22600mbecw240228
VA2W.SI,Sands 5xshortub250930
VA5W.SI,Hstech 3600mbepw240228
VAIW.SI,Annaik W241009
VBEW.SI,Kepcorpmbecw240614
VC2.SI,Olam Group
VCZW.SI,Hsi 18000mbepw240130
VFP.SI,China Medical (intl) Gp Ltd
VHCW.SI,Hkex Mb Ecw240403
VI2.SI,Tc Auto
VJ6W.SI,Sembind Mbepw240202
VJAW.SI,Sembind Mbecw231215
VJLW.SI,Byd 5xshortub241231
VMPW.SI,Alibaba Mb Ecw231102
VNBW.SI,Wilmar 5xlongub250630
VND.SI,Cf Vn 30 Sc Etf Us$
VNM.SI,Cf Vn 30 Sc Etf Sg$
VPDW.SI,Dbs Mb Ecw231010
VT1.SI,Vertex Spac
VT2W.SI,Vertex Spac W291231
VT6W.SI,Hstech 5xlongub251031
VUQW.SI,Alibab3xshortub250428us$
VVL.SI,Alphadx
VWFW.SI,Gentingsmbecw231215
VXJW.SI,Nky 30000mbecw240308
VZLW.SI,Sea Ads Mbecw231229
VZVW.SI,Hsi 15600mbepw240228
W05.SI,Wing Tai Hldgs Ltd
W1XW.SI,Incredible W240204
W5UB.SI,Rafflesed 6%cb270923
W6LW.SI,Sunny 5xlongub250630
W8PW.SI,Hkex 5xshortub250127
WA9W.SI,Alibaba 5xlongub241231
WB3W.SI,Ocbc Bk Mb Epw240708
WBQW.SI,Hsi 7xlongub251031
WCQW.SI,Ccb 5xshortub250430
WDYW.SI,Hstech 3800mbecw240228
WFUW.SI,Comfortdel Mbecw231220
WG2W.SI,Asl M W240723
WG4W.SI,Capinv 5xlongub250630
WGX.SI,Alibaba Autocallsg240903
WI4W.SI,Lining 5xlongub251031
WJP.SI,Vicom Ltd
WL9W.SI,Djia 29000mbepw240315
WNLW.SI,Pingan 5xshortub250228
WOJW.SI,Hkex Mb Epw241203
WPBW.SI,Cosco 5xlongub250430
WPC.SI,Vallianz Holdings Ltd
WQBW.SI,Singtel 5xlongub250630
WRNW.SI,Hstech 5xshortub251031
WTNW.SI,Hscei 7xshortub250430
WVJ.SI,Ntegrator
WWHW.SI,Ocbc Bk Mb Epw240328
WXGW.SI,Cosco 5xshortub251127
WZ2W.SI,Beverly Jcg W240531
X1KW.SI,Yzj 5xlongsg231115
X2PW.SI,Dbs Mb Epw231010
X5HW.SI,Pingan 5xlongub250228
X7XW.SI,Nio Mbecw231122
X8AW.SI,Cmb 5xshortub250430
XBFW.SI,Alibaba 5xlongub250430
XBJW.SI,Lenovo 5xshortub250430
XBNW.SI,Jd 5xlongub250630
XC2W.SI,Nky 31000mbepw240308
XCF.SI,Ktmg Limited
XEWW.SI,Pingan Mb Ecw240503
XH8W.SI,Hsi 16400mbepw231030
XJB.SI,Ghy Culture
XKJW.SI,Hsbc 5xlongub250228
XMDW.SI,Kepcorp 5xlongub250530
XOHW.SI,Sia Mb Ecw240202
XPCW.SI,Ocbc Bk Mb Ecw240226
XR6W.SI,Tencent 5xshortub250321
XVG.SI,$ Aedge Group
XWA.SI,Aem Usd
XWEW.SI,Hscei 7xlongub251031
XXIW.SI,Byd Mb Epw240503
XZL.SI,Ara Us Hospitality Trust
Y03.SI,Yeo Hiap Seng Ltd
Y06.SI,Youcan Foods International Ltd
Y35.SI,Sun East Group Limited
Y3D.SI,Mdr Limited
Y45.SI,Singapore Windsor Holdings Ltd
Y5AW.SI,Alibaba Mb Ecw241203
Y6OB.SI,Gsh Cb5.2%241012#
Y8E.SI,Samurai 2k
Y92.SI,Thai Beverage Public Co Ltd
YCPW.SI,Hsbc 5xshortub250228
